# file...... solar_collector_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# group..... class=inverter AND groupid=solar_inverters
# trigger... (none)
# interval.. 10
# limit..... 0
# property.. timestamp,sum(power_A.real),sum(power_B.real),sum(power_C.real)
2016-01-01 00:39:40 PST,+0,+0,+0
2016-01-01 00:39:50 PST,+0,+0,+0
2016-01-01 00:40:00 PST,+0,+0,+0
2016-01-01 00:40:10 PST,+0,+0,+0
2016-01-01 00:40:20 PST,+0,+0,+0
2016-01-01 00:40:30 PST,+0,+0,+0
2016-01-01 00:40:40 PST,+0,+0,+0
2016-01-01 00:40:50 PST,+0,+0,+0
2016-01-01 00:41:00 PST,+0,+0,+0
2016-01-01 00:41:10 PST,+0,+0,+0
2016-01-01 00:41:20 PST,+0,+0,+0
2016-01-01 00:41:30 PST,+0,+0,+0
2016-01-01 00:41:40 PST,+0,+0,+0
2016-01-01 00:41:50 PST,+0,+0,+0
2016-01-01 00:42:00 PST,+0,+0,+0
2016-01-01 00:42:10 PST,+0,+0,+0
2016-01-01 00:42:20 PST,+0,+0,+0
2016-01-01 00:42:30 PST,+0,+0,+0
2016-01-01 00:42:40 PST,+0,+0,+0
2016-01-01 00:42:50 PST,+0,+0,+0
2016-01-01 00:43:00 PST,+0,+0,+0
2016-01-01 00:43:10 PST,+0,+0,+0
2016-01-01 00:43:20 PST,+0,+0,+0
2016-01-01 00:43:30 PST,+0,+0,+0
2016-01-01 00:43:40 PST,+0,+0,+0
2016-01-01 00:43:50 PST,+0,+0,+0
2016-01-01 00:44:00 PST,+0,+0,+0
2016-01-01 00:44:10 PST,+0,+0,+0
2016-01-01 00:44:20 PST,+0,+0,+0
2016-01-01 00:44:30 PST,+0,+0,+0
2016-01-01 00:44:40 PST,+0,+0,+0
2016-01-01 00:44:50 PST,+0,+0,+0
2016-01-01 00:45:00 PST,+0,+0,+0
2016-01-01 00:45:10 PST,+0,+0,+0
2016-01-01 00:45:20 PST,+0,+0,+0
2016-01-01 00:45:30 PST,+0,+0,+0
2016-01-01 00:45:40 PST,+0,+0,+0
2016-01-01 00:45:50 PST,+0,+0,+0
2016-01-01 00:46:00 PST,+0,+0,+0
2016-01-01 00:46:10 PST,+0,+0,+0
2016-01-01 00:46:20 PST,+0,+0,+0
2016-01-01 00:46:30 PST,+0,+0,+0
2016-01-01 00:46:40 PST,+0,+0,+0
2016-01-01 00:46:50 PST,+0,+0,+0
2016-01-01 00:47:00 PST,+0,+0,+0
2016-01-01 00:47:10 PST,+0,+0,+0
2016-01-01 00:47:20 PST,+0,+0,+0
2016-01-01 00:47:30 PST,+0,+0,+0
2016-01-01 00:47:40 PST,+0,+0,+0
2016-01-01 00:47:50 PST,+0,+0,+0
2016-01-01 00:48:00 PST,+0,+0,+0
2016-01-01 00:48:10 PST,+0,+0,+0
2016-01-01 00:48:20 PST,+0,+0,+0
2016-01-01 00:48:30 PST,+0,+0,+0
2016-01-01 00:48:40 PST,+0,+0,+0
2016-01-01 00:48:50 PST,+0,+0,+0
2016-01-01 00:49:00 PST,+0,+0,+0
2016-01-01 00:49:10 PST,+0,+0,+0
2016-01-01 00:49:20 PST,+0,+0,+0
2016-01-01 00:49:30 PST,+0,+0,+0
2016-01-01 00:49:40 PST,+0,+0,+0
2016-01-01 00:49:50 PST,+0,+0,+0
2016-01-01 00:50:00 PST,+0,+0,+0
2016-01-01 00:50:10 PST,+0,+0,+0
2016-01-01 00:50:20 PST,+0,+0,+0
2016-01-01 00:50:30 PST,+0,+0,+0
2016-01-01 00:50:40 PST,+0,+0,+0
2016-01-01 00:50:50 PST,+0,+0,+0
2016-01-01 00:51:00 PST,+0,+0,+0
2016-01-01 00:51:10 PST,+0,+0,+0
2016-01-01 00:51:20 PST,+0,+0,+0
2016-01-01 00:51:30 PST,+0,+0,+0
2016-01-01 00:51:40 PST,+0,+0,+0
