YEAR,MO,DY,swv_dwn,avg_kt,clr_sky,TSKIN
1984,6,22,3.36,0.29,7.38,21.38
1984,6,23,5.61,0.48,7.41,22.84
1984,6,24,6.68,0.58,6,24.05
1984,6,25,4.44,0.38,7.54,24.38
1984,6,26,6.58,0.57,7.05,27.16
1984,6,27,5.52,0.48,8.38,27.54
1984,6,28,7.3,0.63,8.38,24.33
1984,6,29,6.21,0.54,7.42,24.35
1984,6,30,5.59,0.48,7.34,22.99
1984,7,1,4.83,0.42,7.05,24.84
1984,7,2,4.01,0.35,7.5,26.29
1984,7,3,0.96,0.08,7.83,22.27
1984,7,4,7.18,0.62,7.14,21.73
1984,7,5,4.95,0.43,8,23.07
1984,7,6,2.25,0.2,7.69,22.92
1984,7,7,0.82,0.07,7.66,22.31
1984,7,8,3.26,0.28,7.44,24.17
1984,7,9,1.65,0.14,7.15,23.62
1984,7,10,3.62,0.32,7.75,24.5
1984,7,11,1.83,0.16,7.75,23.35
1984,7,12,3.39,0.3,7.6,25.93
1984,7,13,7.45,0.66,7.68,26.64
1984,7,14,6.06,0.53,6.7,26.6
1984,7,15,7.19,0.63,7.19,26.61
1984,7,16,8.15,0.72,8.17,26.92
1984,7,17,5.13,0.45,7.88,27.48
1984,7,18,5.4,0.48,7.73,26.88
1984,7,19,6.17,0.55,7.41,26.8
1984,7,20,5.87,0.52,7.31,25.81
1984,7,21,0.24,0.02,7.47,23.24
1984,7,22,4.16,0.37,6.51,24.36
1984,7,23,6.48,0.58,6.39,25.25
1984,7,24,1.21,0.11,7.59,25.06
1984,7,25,1.98,0.18,7.49,23.38
1984,7,26,3.68,0.33,7.49,26
1984,7,27,3.79,0.34,7.47,27.02
1984,7,28,5.96,0.54,6.24,27.35
1984,7,29,5.94,0.54,6.36,26.58
1984,7,30,5.58,0.51,6.16,26.36
1984,7,31,6.22,0.57,6.06,26.38
1984,8,1,2.99,0.27,7.34,25.2
1984,8,2,1.53,0.14,7.31,25.3
1984,8,3,5.37,0.5,6,26.74
1984,8,4,5.23,0.48,6.14,27.79
1984,8,5,5.88,0.55,6.05,27.7
1984,8,6,3.71,0.35,7.12,26.57
1984,8,7,5.8,0.54,5.8,26.35
1984,8,8,4.64,0.43,6.61,25.93
1984,8,9,3.53,0.33,6.46,25.75
1984,8,10,3.88,0.37,7.12,26.95
1984,8,11,4.27,0.4,6.33,26.79
1984,8,12,3.37,0.32,7.12,26.38
1984,8,13,4.26,0.41,6.56,26.27
1984,8,14,5.07,0.49,6.78,24.34
1984,8,15,7.41,0.71,7.41,22.07
1984,8,16,7.61,0.73,7.61,22.23
1984,8,17,7.43,0.72,7.49,23.74
1984,8,18,4.5,0.44,6.89,25.11
1984,8,19,5.96,0.58,6.32,25.95
1984,8,20,4.61,0.45,6.86,26.28
1984,8,21,5.01,0.49,5.98,25.94
1984,8,22,5.75,0.57,5.68,26.65
1984,8,23,4.5,0.45,5.8,26.27
1984,8,24,6.08,0.61,5.67,26.81
1984,8,25,4.63,0.46,6.77,25.56
1984,8,26,5.37,0.54,5.86,25.68
1984,8,27,5.35,0.54,5.67,25.93
1984,8,28,5.28,0.54,5.6,26.47
1984,8,29,5.08,0.52,5.56,27.03
1984,8,30,2.5,0.26,6.37,26.29
1984,8,31,0.24,0.02,6.32,24.47
1984,9,1,1.48,0.15,6.41,22.61
1984,9,2,6.15,0.64,6.33,22.42
1984,9,3,5.86,0.61,6.21,22.35
1984,9,4,5.94,0.63,5.97,22.75
1984,9,5,4.07,0.43,6.59,22.79
1984,9,6,2.46,0.26,6.27,23.55
1984,9,7,4.97,0.53,4.96,24.3
1984,9,8,0.58,0.06,6.12,23.19
1984,9,9,2.29,0.25,6.23,22.29
1984,9,10,5.51,0.6,6.23,21.55
1984,9,11,5.83,0.64,6.19,20.61
1984,9,12,5.75,0.64,5.85,20.21
1984,9,13,6.07,0.68,6.22,20.79
1984,9,14,3.93,0.44,6.26,20.92
1984,9,15,5,0.56,5.55,21.17
1984,9,16,4.87,0.55,5.9,22.15
1984,9,17,2.89,0.33,5.85,21.36
1984,9,18,5,0.57,5.94,20.83
1984,9,19,5.87,0.68,5.98,19.75
1984,9,20,6.2,0.72,6.2,19.72
1984,9,21,6.06,0.71,6.12,20.75
1984,9,22,5.58,0.66,5.6,22.44
1984,9,23,3.57,0.42,5.41,22.05
1984,9,24,0.38,0.05,5.41,21.36
1984,9,25,4.53,0.55,5.65,19.64
1984,9,26,3.28,0.4,5.59,18.88
1984,9,27,0.18,0.02,5.5,19.5
1984,9,28,0.37,0.05,5.28,19.85
1984,9,29,5.03,0.63,5.03,20.19
1984,9,30,0.7,0.09,5.46,20.68
1984,10,1,0.39,0.05,5.14,19.9
1984,10,2,0.64,0.08,5.08,19.8
1984,10,3,3.29,0.42,5.24,16.77
1984,10,4,4.89,0.63,5.2,15.36
1984,10,5,4.7,0.61,4.6,16.83
1984,10,6,4.73,0.62,5.05,17.46
1984,10,7,4.63,0.61,5.16,17.53
1984,10,8,3.31,0.44,4.77,18.78
1984,10,9,4.08,0.55,4.71,19.01
1984,10,10,4.95,0.67,4.95,19.45
1984,10,11,4.5,0.62,4.84,19.37
1984,10,12,1.23,0.17,4.74,18.21
1984,10,13,4.93,0.69,4.93,16.62
1984,10,14,4.1,0.58,4.77,17.6
1984,10,15,4.57,0.65,4.57,18.66
1984,10,16,4.12,0.59,4.18,19.89
1984,10,17,4.36,0.63,4.36,19.1
1984,10,18,3.93,0.57,4.04,18.78
1984,10,19,3.94,0.58,4.04,17.17
1984,10,20,4.15,0.61,4.2,14.61
1984,10,21,4.18,0.62,4.19,16.83
1984,10,22,3.9,0.59,3.92,18.57
1984,10,23,3.61,0.55,4.04,17.97
1984,10,24,3.56,0.55,3.69,19.25
1984,10,25,3.68,0.57,3.72,20.15
1984,10,26,3.05,0.48,3.34,18.94
1984,10,27,3.47,0.55,3.71,15.35
1984,10,28,3.65,0.58,3.8,13.91
1984,10,29,3.49,0.56,4.14,13.59
1984,10,30,3.48,0.56,3.71,13.66
1984,10,31,2.42,0.4,4.08,14.99
1984,11,1,4.23,0.7,4.25,15.04
1984,11,2,3.61,0.6,4.29,14.85
1984,11,3,4.08,0.68,4.08,16.05
1984,11,4,3.99,0.68,3.99,17.32
1984,11,5,3.43,0.59,3.65,18.1
1984,11,6,3.39,0.58,3.93,19.05
